Intent,Category,Num Keywords,Num Sources,Issues Found,Severity,Suggested Fix
senior_services,social_services,18,2,"'senior' 'elderly' overlap with senior_disabled_tax_relief. 'soup kitchens' seems off-topic. 'disability benefits' could steal from apply_medicaid.",Medium,"Remove 'soup kitchens'. Change 'disability benefits' to 'aging disability benefits'."
legal_aid,social_services,11,1,"'eviction' overlaps with rent_help. Only 1 source. Missing: 'court date' 'legal clinic' 'pro bono'.",Medium,"Add keywords and source for Central Virginia Legal Aid."
report_pothole_streetlight,city_services,13,3,"CRITICAL: Intent name includes 'streetlight' but has ZERO streetlight keywords. All streetlight keywords are in streetlight_new_repair. Name is misleading.",Critical,"Rename intent to 'report_pothole'. OR add streetlight keywords here."
trash_recycling,city_services,18,3,No significant issues found.,None,N/A
business_license,city_services,13,3,"1st source is 'Finance Online Payment' — not about obtaining a license. Should link to actual business license portal.",Low,"Replace 1st source with RVA Business Portal link."
free_internet_computer,city_services,14,1,"'library hours' 'library location' 'nearest library' steal general library queries — users get internet-focused answer instead of library info.",Medium,"Create separate 'library_info' intent OR rewrite answer to include general library info."
building_permit,city_services,15,2,"CRITICAL: Keywords 'airbnb' 'short-term rental' 'illegal business' 'boarding house' 'commercial vehicles' are zoning COMPLAINTS not permits. Misroutes zoning complaints away from code_enforcement.",Critical,"Move these 5 keywords to code_enforcement immediately."
voter_registration,city_services,9,1,"Answer says '11 days before election' deadline — Virginia now allows same-day registration in some cases. Potentially outdated.",Medium,"Verify current VA voter registration rules. Add 'absentee ballot' 'early voting' keywords."
birth_death_certificate,city_services,6,1,"Only 6 keywords — LOWEST in entire KB. Missing: 'certified copy' 'vital statistics' 'replacement certificate'.",Medium,"Add at least 6-8 more keywords."
report_speeding_safety,city_services,14,2,"CRITICAL: Gas leak keywords ('gas leak' 'smell gas' 'natural gas') bundled into a speeding intent. Completely different topics. User asking about gas leak sees speeding-framed response.",Critical,"Split gas leak into its own intent OR rename to 'neighborhood_safety'."
emergency_alerts,emergency,17,3,"CRITICAL: 3rd source is 'Request Police at Community Event' — completely WRONG for emergency alerts. 'downed trees'/'tree down' overlap with tree_vegetation and parks_trails.",Critical,"Remove police-community-event source immediately. Replace with Richmond Ready Alerts page."
animal_control,city_services,28,3,"'rabbit' 'chickens' could be zoning questions (keeping backyard chickens). 'cat' alone is generic.",Low,"Change to 'loose chickens' 'stray rabbit'."
towed_vehicle,city_services,14,2,"'car missing' is ambiguous — could be theft. 'find my car' is very generic.",Low,"Change to 'find my towed car'."
road_sidewalk_repair,city_services,35,3,"'sinkhole' keywords present — sinkholes are DPU emergency not Public Works. Answer text correctly notes this but the keyword matching could confuse scoring.",Low,"Answer handles it correctly. Low risk."
traffic_signs_signals,city_services,22,3,No significant issues found.,None,N/A
streetlight_new_repair,city_services,17,2,"'light out' is very generic — could match indoor lighting questions.",Low,"Change to 'street light out'."
tree_vegetation,city_services,25,3,"'overgrown' overlaps with code_enforcement and parks_trails. Answer covers public property only but private tree queries will match.",Low,"Add private vs public property clarification."
parks_trails,city_services,17,3,"'downed tree' overlaps with emergency_alerts and tree_vegetation.",Low,"Acceptable overlap — parks context differentiates."
stormwater_flooding,city_services,21,3,"'creek' could be environmental. Answer mentions manhole covers which are sewer_issues territory.",Low,"Add private vs public property note."
sewer_issues,city_services,17,3,"'water coming up' is vague — could match stormwater. 'covers the pipes' is unclear.",Low,"Change to 'sewage coming up'. Remove 'covers the pipes'."
code_enforcement,city_services,27,3,"'plumbing' and 'fire alarms' seem off-topic. MISSING: airbnb/short-term rental keywords that are currently misplaced in building_permit.",Medium,"Remove 'plumbing' 'fire alarms'. Add 'airbnb' 'short-term rental' 'illegal business' from building_permit."
illegal_dumping_graffiti,city_services,18,3,No significant issues found.,None,N/A
pest_control,city_services,18,3,"'bugs' and 'insects' are very generic. 'bees' may need beekeeper not city pest control.",Low,"Change 'bugs' to 'bug infestation'."
residential_parking,city_services,14,3,"'parking violation' collision with pay_parking_ticket (same phrase in both).",Medium,"Change to 'report parking violation' or 'on-street parking violation'."
